chairId,name,email
chair_00001,Yan Yang,yan.yang@institute.com
chair_00002,D. Jinwala,d..jinwala@conference.org
chair_00003,Camilo Fernandez,camilo.fernandez@institute.com
chair_00004,Khushboo Sharma,khushboo.sharma@institute.com
chair_00005,N. Bansal,n..bansal@university.edu
chair_00006,Hua Lu,hua.lu@university.edu
chair_00007,Emil Karpinski,emil.karpinski@conference.org
chair_00008,Zhu Han,zhu.han@conference.org
chair_00009,A. Sykes,a..sykes@conference.org
chair_00010,Weiyan Ye,weiyan.ye@institute.com
chair_00011,Yunzhi Zhang,yunzhi.zhang@conference.org
chair_00012,Chunyu Kit,chunyu.kit@university.edu
chair_00013,Athanasios Zigomitros,athanasios.zigomitros@university.edu
chair_00014,J. Johnston,j..johnston@university.edu
chair_00015,A. Gilbert,a..gilbert@institute.com
chair_00016,A. Koehl,a..koehl@conference.org
chair_00017,Athanasios V. Vasilakos,athanasios.v..vasilakos@conference.org
chair_00018,Yue Zhang,yue.zhang@institute.com
chair_00019,M Zahid Hasan,m.zahid.hasan@university.edu
chair_00020,G. Rogler,g..rogler@institute.com
chair_00021,G. Hermanns,g..hermanns@conference.org
chair_00022,Jianchen Han,jianchen.han@university.edu
chair_00023,A. Knall,a..knall@university.edu
chair_00024,Sudeep Tanwar,sudeep.tanwar@institute.com
chair_00025,K. Peggs,k..peggs@university.edu
chair_00026,Kyoungok Kim,kyoungok.kim@institute.com
chair_00027,H. Garavan,h..garavan@conference.org
chair_00028,J. Schwenk,j..schwenk@university.edu
chair_00029,Furang Wang,furang.wang@institute.com
chair_00030,Sanxing Gao,sanxing.gao@institute.com
chair_00031,T. Nowacki,t..nowacki@conference.org
chair_00032,Huanqin Dai,huanqin.dai@institute.com
chair_00033,Zeqi Zhu,zeqi.zhu@university.edu
chair_00034,E. Farge,e..farge@institute.com
chair_00035,Faisal Abdulaziz Almisned,faisal.abdulaziz.almisned@university.edu
chair_00036,M. Rafanelli,m..rafanelli@institute.com
chair_00037,H. Ng,h..ng@conference.org
chair_00038,Siyuan Hao,siyuan.hao@institute.com
chair_00039,Kelly L. Trout,kelly.l..trout@conference.org
chair_00040,F. Bossa,f..bossa@institute.com
chair_00041,Bushra Komal,bushra.komal@university.edu
chair_00042,Shaira Khan,shaira.khan@conference.org
chair_00043,S. Toor,s..toor@institute.com
chair_00044,L. Katzir,l..katzir@university.edu
chair_00045,Aviv Yehezkel,aviv.yehezkel@institute.com
chair_00046,Noa Roy-Hubara,noa.roy-hubara@conference.org
chair_00047,Tao Zhu,tao.zhu@conference.org
chair_00048,Conghui He,conghui.he@conference.org
chair_00049,Jiaming Liu,jiaming.liu@institute.com
chair_00050,Ramachandran S. Vasan,ramachandran.s..vasan@conference.org
chair_00051,V. Kimonis,v..kimonis@institute.com
chair_00052,Alessandra da Conceição Miranda Santos,alessandra.da.conceição.miranda.santos@institute.com
chair_00053,M. Majdoub,m..majdoub@conference.org
chair_00054,Xun Li,xun.li@institute.com
chair_00055,Mark S. DeFrancesco,mark.s..defrancesco@university.edu
chair_00056,S. Ariyanto,s..ariyanto@conference.org
chair_00057,Dingjiacheng Jia,dingjiacheng.jia@institute.com
chair_00058,M. Bunse,m..bunse@institute.com
chair_00059,R. Lu,r..lu@institute.com
chair_00060,S. Slabik,s..slabik@university.edu
chair_00061,Songping Hu,songping.hu@institute.com
chair_00062,Rui Shu,rui.shu@conference.org
chair_00063,Chi-Yuan Chen,chi-yuan.chen@university.edu
chair_00064,Zhongbao Ma,zhongbao.ma@conference.org
chair_00065,Qiaoshuo Shi,qiaoshuo.shi@university.edu
chair_00066,Sami Bourouis,sami.bourouis@conference.org
chair_00067,Yuan Ping,yuan.ping@conference.org
chair_00068,W. T. Liu,w..t..liu@conference.org
chair_00069,Wuhui Li,wuhui.li@institute.com
chair_00070,A. Shah,a..shah@university.edu
chair_00071,Jiamin He,jiamin.he@institute.com
chair_00072,Daria Julkowska,daria.julkowska@institute.com
chair_00073,Alex Bordini,alex.bordini@university.edu
chair_00074,Yang Wang,yang.wang@institute.com
chair_00075,Jun Tang,jun.tang@institute.com
chair_00076,S. Ejaz,s..ejaz@conference.org
chair_00077,Nick Benik,nick.benik@institute.com
chair_00078,Jane Erin Rooney Maguire Riggs,jane.erin.rooney.maguire.riggs@conference.org
chair_00079,A. Genovese,a..genovese@university.edu
chair_00080,X. Lei,x..lei@conference.org
chair_00081,C. Sirlin,c..sirlin@university.edu
chair_00082,Ayesha Mateen,ayesha.mateen@university.edu
chair_00083,Won-Chul Lee,won-chul.lee@conference.org
chair_00084,Michael P. Snyder,michael.p..snyder@conference.org
chair_00085,Jie Li,jie.li@conference.org
chair_00086,K. Dinnon,k..dinnon@conference.org
chair_00087,Radoslaw Cybulski,radoslaw.cybulski@institute.com
chair_00088,F. Krewer,f..krewer@conference.org
chair_00089,A. L. Markel,a..l..markel@conference.org
chair_00090,Q. Yan,q..yan@university.edu
chair_00091,Leela Ruckthong,leela.ruckthong@university.edu
chair_00092,Mingsheng Shang,mingsheng.shang@conference.org
chair_00093,P. L. Fernández,p..l..fernández@conference.org
chair_00094,Geetha Sarojini Karuppusamy,geetha.sarojini.karuppusamy@conference.org
chair_00095,Donghe Kang,donghe.kang@institute.com
chair_00096,Andrew J. Jenkins,andrew.j..jenkins@institute.com
chair_00097,Ian Molloy,ian.molloy@institute.com
chair_00098,Komal N Muneshwar,komal.n.muneshwar@university.edu
chair_00099,Hui Wang,hui.wang@institute.com
chair_00100,M. Chodyński,m..chodyński@university.edu
chair_00101,W. Lai,w..lai@university.edu
chair_00102,S. Briggs,s..briggs@institute.com
chair_00103,Jian‐Kang Zhu,jian‐kang.zhu@institute.com
chair_00104,Laura Cano,laura.cano@institute.com
chair_00105,P. Meuwly,p..meuwly@institute.com
chair_00106,Yang Cao,yang.cao@university.edu
chair_00107,Suman Nagpal,suman.nagpal@university.edu
chair_00108,D. Marimpietri,d..marimpietri@university.edu
chair_00109,Wulf Schneider,wulf.schneider@institute.com
chair_00110,Bin-Chuan Cui,bin-chuan.cui@university.edu
chair_00111,T. Do,t..do@institute.com
chair_00112,Yong Zhou,yong.zhou@conference.org
chair_00113,Yoshitaka Okuhata,yoshitaka.okuhata@institute.com
chair_00114,Meiming Cai,meiming.cai@institute.com
chair_00115,Wei Tian,wei.tian@conference.org
chair_00116,Elena Espinosa,elena.espinosa@university.edu
chair_00117,Shashikant Kulkarni,shashikant.kulkarni@conference.org
chair_00118,S. Sadovnychiy,s..sadovnychiy@institute.com
chair_00119,P. Campbell,p..campbell@conference.org
chair_00120,Bo Ryu,bo.ryu@conference.org
chair_00121,I. Kaur,i..kaur@institute.com
chair_00122,Weiping Ding,weiping.ding@university.edu
chair_00123,Weihong Guo,weihong.guo@university.edu
chair_00124,Shaohua Wang,shaohua.wang@institute.com
chair_00125,Duoguang Wu,duoguang.wu@university.edu
chair_00126,Hamed Behzadi-Khormouji,hamed.behzadi-khormouji@institute.com
chair_00127,Leming Wu,leming.wu@conference.org
chair_00128,Lijun Yuan,lijun.yuan@university.edu
chair_00129,M. Szopa,m..szopa@university.edu
chair_00130,D. Gitlin,d..gitlin@university.edu
chair_00131,Zeeshan Akram,zeeshan.akram@institute.com
chair_00132,Jacklyn Stratton,jacklyn.stratton@institute.com
chair_00133,Dongdong Niu,dongdong.niu@institute.com
chair_00134,H. Tizón-Marcos,h..tizón-marcos@conference.org
chair_00135,Dadong Li,dadong.li@university.edu
chair_00136,J. Rushing,j..rushing@conference.org
chair_00137,Run Fridriksdottir,run.fridriksdottir@conference.org
chair_00138,R. Kenny,r..kenny@institute.com
chair_00139,Hesheng Zhang,hesheng.zhang@conference.org
chair_00140,Reza Amani-Beni,reza.amani-beni@institute.com
chair_00141,Beaunelle de Bruijn,beaunelle.de.bruijn@institute.com
chair_00142,T. Luecke,t..luecke@conference.org
chair_00143,S. Shim,s..shim@conference.org
chair_00144,Alex Brito,alex.brito@conference.org
chair_00145,Catherine Mulligan,catherine.mulligan@conference.org
chair_00146,H. Tsuchihashi,h..tsuchihashi@conference.org
chair_00147,T. Ogawa,t..ogawa@institute.com
chair_00148,Maximilian Damagnez,maximilian.damagnez@university.edu
chair_00149,R. Pfundt,r..pfundt@conference.org
chair_00150,Chunguang Guo,chunguang.guo@conference.org
chair_00151,He Meng,he.meng@conference.org
chair_00152,Moritz von Stietencron,moritz.von.stietencron@university.edu
chair_00153,Yu Fang,yu.fang@university.edu
chair_00154,Jianhua Feng,jianhua.feng@institute.com
chair_00155,Marina Gerousi,marina.gerousi@conference.org
chair_00156,Jianchang Chen,jianchang.chen@conference.org
chair_00157,Wilko Punt,wilko.punt@university.edu
chair_00158,K. Anand,k..anand@conference.org
chair_00159,S. Z. A. Latiff,s..z..a..latiff@institute.com
chair_00160,Helen Möllering,helen.möllering@university.edu
chair_00161,J. Odukoya,j..odukoya@institute.com
chair_00162,Ana Gómez-González,ana.gómez-gonzález@conference.org
chair_00163,Claudia Gillet,claudia.gillet@institute.com
chair_00164,Gil McVean,gil.mcvean@conference.org
chair_00165,I. Gajić,i..gajić@conference.org
chair_00166,Fazlul Alam,fazlul.alam@institute.com
chair_00167,K. Jung,k..jung@institute.com
chair_00168,Xinlong Chen,xinlong.chen@university.edu
chair_00169,L. Petrucelli,l..petrucelli@university.edu
chair_00170,Xueyan Sun,xueyan.sun@conference.org
chair_00171,R. Alonso,r..alonso@university.edu
chair_00172,Feng Lin,feng.lin@university.edu
chair_00173,May D. Wang,may.d..wang@conference.org
chair_00174,Qinyong Lin,qinyong.lin@institute.com
chair_00175,Marcelo U Ferreira,marcelo.u.ferreira@conference.org
chair_00176,A. Evans,a..evans@conference.org
chair_00177,JanesID,janesid@conference.org
chair_00178,R. Joshi,r..joshi@conference.org
chair_00179,H. Arnheiter,h..arnheiter@university.edu
chair_00180,T. Zhou,t..zhou@conference.org
chair_00181,E. Sigurdsson,e..sigurdsson@university.edu
chair_00182,X. Lao,x..lao@conference.org
chair_00183,R. Schuurink,r..schuurink@conference.org
chair_00184,Jakob W. Sedig,jakob.w..sedig@institute.com
chair_00185,Jiajun Du,jiajun.du@university.edu
chair_00186,Botond L Szabolcs,botond.l.szabolcs@university.edu
chair_00187,J. Spin,j..spin@conference.org
chair_00188,S. Su,s..su@university.edu
chair_00189,Jia Su,jia.su@university.edu
chair_00190,C. Jared,c..jared@university.edu
chair_00191,K. Koenen,k..koenen@conference.org
chair_00192,V. Radosavljevic,v..radosavljevic@university.edu
chair_00193,Tainá Rocha de Almeida,tainá.rocha.de.almeida@conference.org
chair_00194,Matthew Norstad,matthew.norstad@institute.com
chair_00195,Changguo Shi,changguo.shi@institute.com
chair_00196,Mandisa Mbeje,mandisa.mbeje@conference.org
chair_00197,D. Capper,d..capper@institute.com
chair_00198,Chethan M,chethan.m@institute.com
chair_00199,M. Moklas,m..moklas@institute.com
chair_00200,Michelle van Slobbe,michelle.van.slobbe@institute.com
chair_00201,Stephanie A Cohen,stephanie.a.cohen@institute.com
chair_00202,Aditi S. Krishnapriyan,aditi.s..krishnapriyan@institute.com
chair_00203,Sannu Priya,sannu.priya@university.edu
chair_00204,Thulasi Bikku,thulasi.bikku@institute.com
chair_00205,Erik van den Bergh,erik.van.den.bergh@institute.com
chair_00206,H. Jordan,h..jordan@university.edu
chair_00207,Huiling Chen,huiling.chen@institute.com
chair_00208,Jie Li,jie.li@university.edu
chair_00209,M. Pereira,m..pereira@university.edu
chair_00210,G. Anton,g..anton@university.edu
chair_00211,E. Kitov,e..kitov@conference.org
chair_00212,X. Qiu,x..qiu@institute.com
chair_00213,Runzhou Liu,runzhou.liu@institute.com
chair_00214,Nadin Kökciyan,nadin.kökciyan@university.edu
chair_00215,J. Mei,j..mei@university.edu
chair_00216,J. Bather,j..bather@conference.org
chair_00217,Surajit Chaudhuri,surajit.chaudhuri@conference.org
chair_00218,B. Traore,b..traore@conference.org
chair_00219,Ashok K. Gupta,ashok.k..gupta@university.edu
chair_00220,Qingyu Li,qingyu.li@institute.com
chair_00221,Philipp Ludersdorfer,philipp.ludersdorfer@university.edu
chair_00222,Xiaoxin Ma,xiaoxin.ma@conference.org
chair_00223,M. Brasesco,m..brasesco@university.edu
chair_00224,M. E. van der Rest,m..e..van.der.rest@institute.com
chair_00225,Yi Wang,yi.wang@conference.org
chair_00226,Maiko Kusano,maiko.kusano@conference.org
chair_00227,Jon Dugan,jon.dugan@conference.org
chair_00228,Shao-Wei Tsai,shao-wei.tsai@conference.org
chair_00229,Herminio Vazquez,herminio.vazquez@institute.com
chair_00230,Lorenzo Cima,lorenzo.cima@conference.org
chair_00231,Shifei Ding,shifei.ding@university.edu
chair_00232,P. Limburský,p..limburský@conference.org
chair_00233,Junlin Zhou,junlin.zhou@conference.org
chair_00234,Kaijun Wei,kaijun.wei@institute.com
chair_00235,Yanjun Wang,yanjun.wang@institute.com
chair_00236,Shuai Tong,shuai.tong@institute.com
chair_00237,G. Monaco,g..monaco@institute.com
chair_00238,J. Round,j..round@university.edu
chair_00239,K. X. Cheong,k..x..cheong@conference.org
chair_00240,Tzu-Chuen Lu,tzu-chuen.lu@university.edu
chair_00241,Yen-Fu Cheng,yen-fu.cheng@university.edu
chair_00242,Juze Yang,juze.yang@conference.org
chair_00243,Hemant Naikare,hemant.naikare@university.edu
chair_00244,Simon Sretenovic,simon.sretenovic@university.edu
chair_00245,Wenwen Sun,wenwen.sun@conference.org
chair_00246,Yang Guo,yang.guo@university.edu
chair_00247,M. Savonnet,m..savonnet@university.edu
chair_00248,S. Yiu,s..yiu@university.edu
